Unnamed: 0,Color,Main Background,Header Background,Main Header Text,Containers Background,Containers Label,Buttons,Buttons Text,Leds Off State,Pre-Soak On State,Soap On State,Degreaser On State,Rinse On State,Wax On State,Heater On State,Pressure Washer On State,Pressure Washer Off State,Timer Numbers,Timer Background
0,Current,#0f2937,#20374c,white,#20374c,white,#3d9be7,white,#A9A9A9,#FD1C03,#28E7FF,#ff115c,#FFFF33,#16F529,#FFFFFF,#39FF14,darkgrey,#42C4F7,#0f2937
1,Default,#0f2937,#20374c,white,#20374c,white,#3d9be7,white,#A9A9A9,#FD1C03,#28E7FF,#FF6700,#FFFF33,#16F529,#FFFFFF,#39FF14,darkgrey,#42C4F7,#0f2937
